Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
Morocco,29,Female,1,Arabic,French,3,49,430,0.595079
Morocco,26,Male,20,Arabic,Arabic,1,49,486,0.595079
Morocco,21,Female,4,Arabic,Tamazight,1,49,546,0.595079
Morocco,28,Male,6,Arabic,French,3,49,480,0.595079
Morocco,27,Male,5,Arabic,French,2,49,486,0.595079
Morocco,30,Male,4,Arabic,French,3,49,545,0.595079
Morocco,7,Female,23,Arabic,Monolingual,2,49,508,0.595079
Morocco,36,Male,2,Arabic,French,1,49,507,0.595079
Morocco,22,Male,2,Arabic,French,4,49,497,0.595079
Morocco,25,Male,3,Arabic,French,3,49,490,0.595079
Morocco,23,Male,7,Arabic,Monolingual,4,49,469,0.595079
Morocco,29,Male,2,Arabic,French,4,49,524,0.595079
Morocco,20,Male,1,Arabic,French,3,49,476,0.595079
Iraq,37,Male,2,Arabic,English,4,47,507,0.595079
Morocco,27,Male,3,Arabic,French,3,49,476,0.595079
Morocco,30,Male,1,Arabic,French,4,49,455,0.595079
Iraq,24,Male,3,Arabic,English,4,47,492,0.595079
Morocco,27,Male,1,Arabic,French,1,49,461,0.595079
Morocco,31,Male,1,Arabic,French,1,49,507,0.595079
Morocco,26,Male,2,Arabic,French,4,49,462,0.595079
Morocco,20,Male,1,Arabic,French,3,49,508,0.595079
Iraq,30,Female,3,Arabic,English,4,47,479,0.595079
Iraq,25,Female,3,Arabic,French,4,47,528,0.595079
Iraq,36,Female,3,Arabic,English,1,47,492,0.595079
Morocco,31,Female,16,Arabic,English,4,49,550,0.595079
Morocco,21,Male,1,Arabic,French,3,49,469,0.595079
Morocco,27,Male,1,Arabic,French,4,49,494,0.595079
Morocco,29,Male,5,Arabic,French,4,49,438,0.595079
Morocco,26,Male,1,Arabic,French,4,49,505,0.595079
Iraq,36,Male,14,Arabic,English,4,47,508,0.595079
Morocco,21,Male,16,Arabic,French,3,49,477,0.595079
Iraq,31,Female,3,Arabic,Arabic,2,47,516,0.595079
Morocco,32,Female,3,Arabic,French,3,49,488,0.595079
Morocco,22,Male,15,Arabic,French,3,49,493,0.595079
Morocco,28,Female,1,Arabic,French,3,49,477,0.595079
Sudan,21,Male,4,Arabic,French,3,31,471,0.595079
Morocco,37,Female,2,Arabic,English,4,49,534,0.595079
Morocco,22,Male,15,Arabic,French,4,49,503,0.595079
Iraq,24,Female,5,Arabic,English,3,47,480,0.595079
Morocco,22,Female,5,Arabic,French,4,49,516,0.595079
Morocco,28,Male,11,Arabic,French,3,49,547,0.595079
